	pathway_name	annotation	interaction_name_2	ligand	receptor
SPP1_ITGA8_ITGB1	SPP1	Secreted Signaling	SPP1 - (ITGA8+ITGB1)	SPP1	ITGA8,ITGB1
SPP1_ITGA5_ITGB1	SPP1	Secreted Signaling	SPP1 - (ITGA5+ITGB1)	SPP1	ITGA5,ITGB1
NAMPT_INSR	VISFATIN	Secreted Signaling	NAMPT - INSR	NAMPT	INSR
NAMPT_ITGA5_ITGB1	VISFATIN	Secreted Signaling	NAMPT - (ITGA5+ITGB1)	NAMPT	ITGA5,ITGB1
ANGPTL1_ITGA1_ITGB1	ANGPTL	Secreted Signaling	ANGPTL1 - (ITGA1+ITGB1)	ANGPTL1	ITGA1,ITGB1
ANGPTL2_ITGA5_ITGB1	ANGPTL	Secreted Signaling	ANGPTL2 - (ITGA5+ITGB1)	ANGPTL2	ITGA5,ITGB1
ANGPTL4_ITGA5_ITGB1	ANGPTL	Secreted Signaling	ANGPTL4 - (ITGA5+ITGB1)	ANGPTL4	ITGA5,ITGB1
ANGPTL4_CDH5	ANGPTL	Secreted Signaling	ANGPTL4 - CDH5	ANGPTL4	CDH5
ANGPTL4_CDH11	ANGPTL	Secreted Signaling	ANGPTL4 - CDH11	ANGPTL4	CDH11
ANGPTL4_SDC1	ANGPTL	Secreted Signaling	ANGPTL4 - SDC1	ANGPTL4	SDC1
ANGPTL4_SDC2	ANGPTL	Secreted Signaling	ANGPTL4 - SDC2	ANGPTL4	SDC2
ANGPTL4_SDC3	ANGPTL	Secreted Signaling	ANGPTL4 - SDC3	ANGPTL4	SDC3
ANGPTL4_SDC4	ANGPTL	Secreted Signaling	ANGPTL4 - SDC4	ANGPTL4	SDC4
ANGPT1_TEK	ANGPT	Secreted Signaling	ANGPT1 - TEK	ANGPT1	TEK
ANGPT2_TEK	ANGPT	Secreted Signaling	ANGPT2 - TEK	ANGPT2	TEK
ANGPT2_ITGA5_ITGB1	ANGPT	Secreted Signaling	ANGPT2 - (ITGA5+ITGB1)	ANGPT2	ITGA5,ITGB1
MDK_SDC1	MK	Secreted Signaling	MDK - SDC1	MDK	SDC1
MDK_SDC2	MK	Secreted Signaling	MDK - SDC2	MDK	SDC2
MDK_SDC4	MK	Secreted Signaling	MDK - SDC4	MDK	SDC4
MDK_PTPRZ1	MK	Secreted Signaling	MDK - PTPRZ1	MDK	PTPRZ1
MDK_ITGA4_ITGB1	MK	Secreted Signaling	MDK - (ITGA4+ITGB1)	MDK	ITGA4,ITGB1
MDK_ITGA6_ITGB1	MK	Secreted Signaling	MDK - (ITGA6+ITGB1)	MDK	ITGA6,ITGB1
MDK_LRP1	MK	Secreted Signaling	MDK - LRP1	MDK	LRP1
MDK_NCL	MK	Secreted Signaling	MDK - NCL	MDK	NCL
PTN_PTPRZ1	PTN	Secreted Signaling	PTN - PTPRZ1	PTN	PTPRZ1
PTN_SDC1	PTN	Secreted Signaling	PTN - SDC1	PTN	SDC1
PTN_SDC2	PTN	Secreted Signaling	PTN - SDC2	PTN	SDC2
PTN_SDC3	PTN	Secreted Signaling	PTN - SDC3	PTN	SDC3
PTN_SDC4	PTN	Secreted Signaling	PTN - SDC4	PTN	SDC4
PTN_NCL	PTN	Secreted Signaling	PTN - NCL	PTN	NCL
POSTN_ITGAV_ITGB5	PERIOSTIN	Secreted Signaling	POSTN - (ITGAV+ITGB5)	POSTN	ITGAV,ITGB5
EDN1_EDNRA	EDN	Secreted Signaling	EDN1 - EDNRA	EDN1	EDNRA
EDN3_EDNRA	EDN	Secreted Signaling	EDN3 - EDNRA	EDN3	EDNRA
EDN1_EDNRB	EDN	Secreted Signaling	EDN1 - EDNRB	EDN1	EDNRB
EDN3_EDNRB	EDN	Secreted Signaling	EDN3 - EDNRB	EDN3	EDNRB
GAL_GALR1	GALANIN	Secreted Signaling	GAL - GALR1	GAL	GALR1
POMC_MC1R	MELANOCORTIN	Secreted Signaling	POMC - MC1R	POMC	MC1R
NPY_NPY1R	NPY	Secreted Signaling	NPY - NPY1R	NPY	NPY1R
NPY_GPR83	NPY	Secreted Signaling	NPY - GPR83	NPY	GPR83
PYY_NPY1R	NPY	Secreted Signaling	PYY - NPY1R	PYY	NPY1R
PYY_GPR83	NPY	Secreted Signaling	PYY - GPR83	PYY	GPR83
SST_SSTR2	SEMATOSTATIN	Secreted Signaling	SST - SSTR2	SST	SSTR2
PRSS3_F2R	PARs	Secreted Signaling	PRSS3 - F2R	PRSS3	F2R
PRSS3_F2RL1	PARs	Secreted Signaling	PRSS3 - F2RL1	PRSS3	F2RL1
PRSS3_PARD3	PARs	Secreted Signaling	PRSS3 - PARD3	PRSS3	PARD3
ADCYAP1_ADCYAP1R1	PACAP	Secreted Signaling	ADCYAP1 - ADCYAP1R1	ADCYAP1	ADCYAP1R1
VIP_VIPR1	VIP	Secreted Signaling	VIP - VIPR1	VIP	VIPR1
VIP_VIPR2	VIP	Secreted Signaling	VIP - VIPR2	VIP	VIPR2
NPPC_NPR2	NPR2	Secreted Signaling	NPPC - NPR2	NPPC	NPR2
BDNF_NTRK2	NT	Secreted Signaling	BDNF - NTRK2	BDNF	NTRK2
HGF_MET	HGF	Secreted Signaling	HGF - MET	HGF	MET
NTF3_NTRK2	NT	Secreted Signaling	NTF3 - NTRK2	NTF3	NTRK2
NTF3_NTRK3	NT	Secreted Signaling	NTF3 - NTRK3	NTF3	NTRK3
SEMA3A_NRP1_PLXNA1	SEMA3	Secreted Signaling	SEMA3A - (NRP1+PLXNA1)	SEMA3A	NRP1,PLXNA1
SEMA3A_NRP1_PLXNA2	SEMA3	Secreted Signaling	SEMA3A - (NRP1+PLXNA2)	SEMA3A	NRP1,PLXNA2
SEMA3A_NRP1_PLXNA3	SEMA3	Secreted Signaling	SEMA3A - (NRP1+PLXNA3)	SEMA3A	NRP1,PLXNA3
SEMA3A_NRP1_PLXNA4	SEMA3	Secreted Signaling	SEMA3A - (NRP1+PLXNA4)	SEMA3A	NRP1,PLXNA4
SEMA3B_NRP1_PLXNA1	SEMA3	Secreted Signaling	SEMA3B - (NRP1+PLXNA1)	SEMA3B	NRP1,PLXNA1
